0,1,2,type
-77.51841094512163,158.1046874048381,-80.5862764597165,pos
-75.88427225412616,173.51778930701448,-97.63351705288821,pos
-42.01796738904422,81.59741070987087,-39.57944332082668,pos
-75.75354333458156,165.53690094698123,-89.78335761239973,pos
-70.03215994682125,140.52035058328167,-70.48819063646033,pos
-53.03359098533541,163.12467628971802,-110.09108530438272,pos
-103.71037849898616,199.8739780389412,-96.16359953995503,pos
-92.00428951207996,197.53353759165188,-105.529248079572,pos
-79.3764628263924,148.9711449676973,-69.59468214130493,pos
-58.4862116539816,172.28774975249996,-113.8015380985183,pos
-81.17357352052014,136.6714556068055,-55.49788208628549,pos
-29.8401322152977,56.79769483581284,-26.95756262051516,pos
-83.85436423953112,145.80031923623548,-61.94595499670429,pos
-62.18157834328808,124.70926070703182,-62.527682363743786,pos
-98.5099064486433,186.08708645654798,-87.57718000790476,pos
-77.46326992627824,127.81344957981982,-50.35017965354174,pos
-27.53251480807526,54.04602739041403,-26.513512582338784,pos
-63.627814560188106,125.25495946072243,-61.627144900534425,pos
-30.358947387062095,146.410137482971,-116.0511900959089,pos
-97.79345749352598,194.16040611731574,-96.36694862378985,pos
-109.54983531805968,187.29643296995792,-77.74659765189817,pos
-42.49497660299827,85.23850749831205,-42.74353089531381,pos
-83.82083754228469,172.78645698918223,-88.9656194468975,pos
-58.30020415112843,171.48906157219653,-113.18885742106802,pos
-56.58960816694198,177.08707975666601,-120.49747158972387,pos
-42.864849117833494,160.39306952258295,-117.52822040474933,pos
-96.80127326636047,203.36955301337372,-106.5682797470132,pos
-92.65577424327648,183.69470111255637,-91.03892686928002,pos
-72.69468467106685,168.33500383927267,-95.64031916820592,pos
-73.31804755312083,150.0944131450797,-76.77636559195881,pos
-97.3657184948202,219.60050340421344,-122.23478490939326,pos
-93.20214448540213,191.59942819411162,-98.39728370870925,pos
-117.20643308398824,194.62705576497595,-77.42062268098763,pos
-42.26687718916077,84.85683462945298,-42.58995744029216,pos
-48.589700377930924,156.60147993013254,-108.01177955220159,pos
-47.46730804481018,167.46000739509438,-119.99269935028411,pos
-49.837525499773136,161.00170048859547,-111.16417498882247,pos
-93.99653373606505,206.6149637688709,-112.61843003280583,pos
-93.39817890727721,197.09650343204817,-103.69832452477094,pos
-52.3390389764651,102.96827814645576,-50.62923916999071,pos
-90.68737675885595,204.2654307399257,-113.5780539810698,pos
-45.83748705327549,91.6628035981062,-45.82531654483075,pos
-89.56621454207973,190.924338029399,-101.3581234873193,pos
-67.63731311624967,153.9421394175934,-86.3048263013437,pos
-80.79374977953273,162.24231483345937,-81.44856505392671,pos
-69.84399358849322,141.41904738274948,-71.57505379425629,pos
-77.01031565624541,150.4750057283345,-73.46469007208911,pos
-81.41863546633297,156.85558941125853,-75.43695394492553,pos
-72.88881884289623,154.4383170441815,-81.54949820128529,pos
-91.81556089870158,192.59754699769854,-100.78198609899708,pos
-48.73609964460195,98.01064262923103,-49.274542984629086,pos
-89.25349379700528,187.44866101210047,-98.19516721509522,pos
-22.778817675869348,39.06524833391816,-16.2864306580488,pos
-49.787406511426084,100.08731170719855,-50.29990519577248,pos
-89.79935607691857,175.91475556757902,-86.11539949066044,pos
-67.3169983239542,142.59472166128194,-75.27772333732773,pos
-63.79794270458928,127.78720486003657,-63.98926215544733,pos
-81.0129207630485,154.38570960096047,-73.37278883791187,pos
-87.04145909769589,188.0662574710698,-101.02479837337397,pos
-72.89141629581312,157.07816380853254,-84.1867475127195,pos
-79.24432367514869,160.2635476144027,-81.01922393925405,pos
-86.45578635559704,169.98249265219832,-83.52670629660142,pos
-65.35248958756215,153.10313797436834,-87.75064838680619,pos
-53.03421255232456,105.41443504150959,-52.38022248918507,pos
-98.18894122953644,213.07188829165435,-114.88294706211775,pos
-94.33851501943728,188.25381215636787,-93.91529713693056,pos
-50.18888340141821,99.37800450242821,-49.18912110100999,pos
-75.16523676049148,135.18033301116475,-60.01509625067337,pos
-64.05378434052841,125.8978457334841,-61.84406139295574,pos
-79.27771851343071,186.76198894756996,-107.4842704341393,pos
-73.68631968514512,179.98999102996297,-106.30367134481787,pos
-52.655126442487365,105.39995229814873,-52.744825855661425,pos
-64.72875944629602,129.590022929422,-64.86126348312597,pos
-75.55927420218472,170.15882824851232,-94.59955404632755,pos
-71.84663292515992,141.67197995981303,-69.82534703465303,pos
-33.6373482901932,152.29760473143148,-118.66025644123832,pos
-52.522011868022915,169.40025133080107,-116.8782394627783,pos
-82.59027666277908,149.22639739627851,-66.63612073349957,pos
-81.84292751292188,156.16024854375195,-74.31732103083014,pos
-93.56985792812756,187.30565263217886,-93.73579470405127,pos
-41.73287949204823,82.15371809667893,-40.42083860463074,pos
-32.192571773508874,63.80824244568139,-31.615670672172485,pos
-93.45047248909309,198.5646645914399,-105.11419210234693,pos
-40.765465359215526,82.63280808228052,-41.86734272306501,pos
-57.53953548798358,146.31826216445864,-88.77872667647515,pos
-94.0914253325255,196.37085567704466,-102.27943034451903,pos
-65.01713626223345,130.15378320533483,-65.13664694310135,pos
-94.59046438611519,203.52909808541912,-108.93863369930403,pos
165.48115054674147,-129.68682087251722,-35.794329674224215,pos
-81.86201099898263,156.69707366301654,-74.8350626640339,pos
-56.248331393167255,166.74537503686648,-110.49704364369904,pos
-70.96299370010287,171.4300504054679,-100.467056705365,pos
-80.68345078974262,166.50304199495662,-85.819591205214,pos
-77.24414388849992,138.38534522889367,-61.14120134039382,pos
-76.45085045852129,148.42973647773354,-71.97888601921217,pos
-92.49288806156397,196.55345185457037,-104.06056379300638,pos
-51.31129886327214,96.02246650489829,-44.71116764162612,pos
-72.0448930004165,152.09324618903793,-80.0483531886216,pos
-29.51341413127719,58.677815905165716,-29.16440177388852,pos
-68.34368274745165,135.05514905742228,-66.71146630997075,pos
-80.49117011982793,142.1603650050669,-61.66919488523905,pos
-58.95929151274834,113.37405850766362,-54.414766994915325,pos
-80.27041137748576,168.08199753500372,-87.8115861575179,pos
-63.35589394802754,124.34371555001752,-60.98782160198988,pos
-90.45531497296977,175.73733403396858,-85.28201906099882,pos
-85.93305096717907,185.44310040508213,-99.5100494379031,pos
-64.50423305302249,148.03993663517156,-83.53570358214911,pos
-27.600267193826483,41.64418557538748,-14.043918381561005,pos
-73.07484930824629,164.67830474858326,-91.60345544033696,pos
-74.67585977977522,152.6910484144651,-78.01518863468974,pos
-99.38058958320548,194.3321100862578,-94.95152050305235,pos
-97.7457969252779,189.7003459212404,-91.95454899596255,pos
