peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,type
-58.53057959921174,-39.36759435825835,-55.4017722453897,269.14881673466147,-58.20516388791222,-57.64370664388943,pos
-28.50057281651464,-148.8575477152085,-26.708967560869453,261.21345864538836,-28.57545769042431,-28.57091286237145,pos
-28.18018056188218,-21.407659580300773,-27.556940746560777,133.38938730250462,-28.098913716621727,-28.14569269713912,pos
-54.23366041477147,-43.21436969206356,-51.48571203769145,257.39812672330856,-54.30646511708225,-54.15791946169991,pos
-42.68247989255968,-53.07554343875647,-39.97873082958501,221.014657895258,-42.64750217965793,-42.630401554698835,pos
-80.66112438005788,86.52920737444049,-79.37010737571087,234.05971558682603,-80.38295819668791,-80.17473300880981,pos
-41.10896447003426,-136.1396722401454,-39.36785864620245,298.8293581782362,-41.15525256762754,-41.05761025422655,pos
-38.937340525848505,-156.0536528825994,-37.412540474396096,310.23022916217207,-38.999304925015046,-38.827390354312975,pos
-54.73921390550507,-18.443295415621716,-52.884252013402005,235.42698292255963,-54.72667383800122,-54.633547750029486,pos
-84.16276343731377,103.76887064547445,-82.32194762409388,230.4446125456409,-83.90951451641769,-83.81925761329009,pos
-56.28282443136031,-41.53580410767452,-53.54902937764448,261.3216610334671,-55.48226989809031,-54.4717332186974,pos
-18.75904994048569,-15.593767888798066,-18.336213831288337,90.14499047667353,-18.711991918809055,-18.743966897292417,pos
-60.43619384987031,-35.72901205347069,-56.32782735440925,269.6250731555847,-59.334857048484906,-57.797182849349575,pos
-43.331176189193066,-25.79504939354175,-36.95765347148149,191.8043306186205,-42.78790677288288,-42.932544791521146,pos
-20.986212233878714,-205.94574510479387,-19.827145809695207,288.44803162113203,-21.058205789863663,-20.630722682900554,pos
-52.07820107518283,-44.60837426466158,-51.19138863354958,251.13599773622332,-51.814900754119705,-51.443133008709545,pos
-18.273170977254505,-13.619141088607691,-17.827190128492795,86.04257518055441,-18.07318484505932,-18.24988814114011,pos
-41.65457095847167,-38.18513252389711,-40.603382195688845,203.6241943360021,-41.601954064598374,-41.57915459334618,pos
-61.27816627834351,-58.46063289343431,-59.77871217230285,299.8787545663201,-60.336405533008694,-60.02483768923063,pos
-67.38024453927135,-58.100237470982,-65.60469920420056,325.30724891826833,-67.22084285319092,-67.00122485062359,pos
-97.54640383341386,155.38641230130898,-94.21712573469074,231.28173659145492,-97.63217804544202,-97.27244127921728,pos
-27.9510907118301,-26.62078173307584,-27.217758472798,137.610305419405,-27.923481125882557,-27.897193375818386,pos
-48.37825991539552,-80.09188443521049,-46.964903707698575,272.22603458924056,-48.40025787296083,-48.39072865797505,pos
-80.35960061583626,74.07620259250999,-78.73762873662126,245.23436183637648,-80.08482793539537,-80.12850714103352,pos
-88.22438558327504,172.4563464850229,-86.39381622711514,178.30117389592718,-88.24325290330093,-87.89606566725895,pos
-84.66811322110762,172.30044836275917,-83.20185983956254,164.67468517137524,-84.66934195349101,-84.43581851997322,pos
-52.51689070347895,-122.73051828615128,-50.97556065499309,331.1911664939908,-52.57903019546718,-52.38916665390054,pos
-66.3448494234996,-47.022922388365856,-64.69612812868515,310.10064475177563,-66.12069972968595,-65.9160450815391,pos
-65.00808604807074,-5.775820087412825,-62.89367582561205,263.72002342998917,-65.07461440755405,-64.96782706133958,pos
-35.364227465971396,-97.01866467376368,-34.59829274794445,237.74462538787557,-35.397034763480846,-35.366405736715144,pos
-18.205191419558535,-233.5764078052132,-16.36948108707371,304.70942436122306,-18.280613671673986,-18.277730377703243,pos
-27.360410929614677,-191.37080880435306,-26.032987403760607,299.2839419095095,-27.438222255622634,-27.081512516158575,pos
-104.25103307314306,209.30143869651127,-101.85320074707316,205.25614043216615,-104.43612225032477,-104.01722305813637,pos
-27.810946992462174,-25.58510003644896,-26.581036655073756,135.38310505769172,-27.634991478037254,-27.771029895669628,pos
-78.58252447280121,113.93682636076261,-77.08576478732287,198.54821215439307,-78.4744494737584,-78.34229978127324,pos
-83.83984904929233,197.48254839943934,-82.45342846510532,136.49419745345307,-83.94250412026729,-83.74096421822753,pos
-76.74387392462648,63.980339881251965,-75.10848087126297,240.4289708812995,-76.45989853005692,-76.0970574366053,pos
-4.075477748608159,-248.31592961289923,-2.029205596998158,262.71786581079095,-4.156191126403595,-4.141061725881877,pos
-62.63235525320147,-68.84188320488553,-60.51116962092362,317.13457826229336,-62.630855855458805,-62.51831432782381,pos
-33.65730459359252,-31.698938144602288,-30.388500004776247,162.82840559081498,-33.58914074199452,-33.49452210584941,pos
-17.014189635006893,292.1004759425212,-18.899740672638238,-222.3607127743611,-16.877491330393962,-16.948341530120707,pos
-30.796949812946906,-24.088374545573885,-26.564826211314347,142.6829269606232,-30.58938705413074,-30.643389336657393,pos
-65.88834848140596,-42.49893090013364,-63.79984032980601,304.02888346954467,-65.92757500673447,-65.91418875146464,pos
-53.446579541007374,-33.11564245338789,-52.56173101529214,246.07574151881755,-53.48502680288959,-53.46676170624064,pos
-47.3016113700561,-70.58754704894224,-45.88961515758333,258.3570435111525,-47.32647037374622,-47.251799560824566,pos
-43.34057708178802,-56.6672525221602,-40.835922599434454,227.1755759490663,-43.17515826686811,-43.15666547881549,pos
-56.42151596368134,-43.470057047822664,-52.13165550979402,262.4015950127497,-55.70397324117894,-54.6743932502727,pos
-53.40559561559989,-45.468808159642684,-51.37883990253904,256.6246156809307,-53.27148121148432,-53.099890791664706,pos
-56.9403245984948,-15.490675311290712,-53.6080017222836,240.00056602886534,-57.026375167724616,-56.93518922907181,pos
-25.436902132945885,-192.70785882578224,-23.81950147133,292.63118654322824,-25.52478149012182,-25.142142623048514,pos
-32.27215306584451,-29.095818175597234,-29.029761997913646,154.65868861529773,-32.066549495707946,-32.19440588023439,pos
-48.74761637650204,-111.45525506650169,-47.279280089476394,304.8565870673289,-48.80859745511048,-48.565838079738384,pos
-18.688575483147297,17.163653136113624,-18.157569627483543,57.03153339716255,-18.73889584049546,-18.61014558214986,pos
-32.3952184686316,-31.134725840407633,-31.465727169358136,159.70635380913222,-32.34213309288055,-32.36854923785434,pos
-66.44351390972867,-44.63871324802508,-64.74068344151347,307.7609397424704,-66.18272539347423,-65.75530374972882,pos
-49.720055808252,-33.15662075904538,-46.98589693413301,229.2513648469907,-49.72922670999963,-49.6595646355607,pos
-41.76439510085162,-40.32096476804384,-40.83393925908911,206.33483875838277,-41.7144723086094,-41.70106732178893,pos
-55.99743460505201,-50.223127518548694,-52.22426531956313,268.4930603997985,-55.39670190455067,-54.651531052084046,pos
-71.6433173637189,-22.67444284618534,-69.01661718759642,306.25924990710155,-71.61933791200379,-71.30553459759714,pos
-49.37285110992036,-62.828244076151165,-48.251362492929424,259.0960267388177,-49.42710166224444,-49.21646739757238,pos
-59.172433770272555,-38.91938267759894,-56.138248619201455,271.4479099601663,-58.882596533859356,-58.33524835923391,pos
-58.629552767450086,-52.41449838124293,-57.419683053983015,285.4707323653723,-58.61064758194852,-58.39635058074793,pos
-66.55688091037113,34.48255126505734,-63.54818868757465,229.06867617743117,-66.76221047524822,-66.68394736929449,pos
-34.486792305003796,-32.483691702637735,-33.92793171706045,169.80642771104286,-34.44538417214996,-34.46262781419082,pos
-34.90947425323182,-184.91823820517064,-32.84163251783099,322.54106261966035,-34.99572585357603,-34.875991789850865,pos
-73.19286619935122,-36.2597628353382,-71.35974687406438,326.4435700003028,-73.07157123560323,-72.55962285594576,pos
-33.88583282439452,-14.452014509555934,-25.63379718190255,140.76243186524943,-33.15765814963472,-33.633129199761704,pos
-48.55680734519726,-45.264769818746814,-46.32813498608004,236.14868444039843,-48.24235407831421,-47.75661821205995,pos
