peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,height,width,average,type
-58.53057959921185,-39.36759435825839,-55.40177224538982,269.14881673466186,-58.20516388791235,-57.64370664388955,17969.0,19872.0,3518.343628593628,pos
-28.500572816514637,-148.85754771520826,-26.708967560869407,261.21345864538813,-28.575457690424283,-28.57091286237145,38630.0,37547.0,3162.311091686092,pos
-28.18018056188215,-21.40765958030076,-27.556940746560763,133.38938730250447,-28.098913716621695,-28.1456926971391,45048.77622377622,45053.0,7427.513694638695,pos
-54.233660414771336,-43.21436969206368,-51.485712037691385,257.3981267233085,-54.30646511708218,-54.157919461699834,19202.0,19202.0,4236.25505050505,pos
-42.68247989255972,-53.075543438756526,-39.97873082958502,221.01465789525818,-42.64750217965799,-42.6304015546989,17464.0,17464.0,3371.834401709402,pos
-80.66112438005796,86.5292073744405,-79.3701073757109,234.0597155868262,-80.382958196688,-80.17473300880987,44925.0,37650.0,12496.618104118104,pos
-41.10896447003408,-136.13967224014496,-39.36785864620227,298.829358178235,-41.15525256762731,-41.05761025422636,30716.454545454544,30716.48717948718,6151.435606060605,pos
-38.937340525848555,-156.0536528825995,-37.41254047439609,310.23022916217195,-38.99930492501503,-38.827390354312996,49967.0,50923.0,4212.169580419581,pos
-54.739213905505245,-18.443295415621822,-52.884252013402204,235.42698292256026,-54.72667383800141,-54.63354775002963,22335.0,22335.0,4902.433663558663,pos
-84.1627634373137,103.76887064547438,-82.32194762409371,230.44461254564072,-83.90951451641754,-83.81925761329009,32203.0,27361.0,3257.6149961149963,pos
-56.282824431360204,-41.53580410767449,-53.54902937764436,261.3216610334667,-55.48226989809017,-54.47173321869728,21688.0,21729.0,4010.3317793317797,pos
-18.75904994048568,-15.593767888798077,-18.33621383128835,90.1449904766736,-18.711991918809083,-18.74396689729244,55936.0,56416.0,10058.3004001554,pos
-60.43619384987034,-35.72901205347072,-56.32782735440925,269.6250731555849,-59.33485704848497,-57.79718284934963,14016.575757575758,14016.388111888113,2933.580031080031,pos
-43.33117618919299,-25.795049393541703,-36.95765347148142,191.80433061862,-42.78790677288286,-42.93254479152108,6320.0,6321.0,1296.5405982905984,pos
-20.986212233878632,-205.94574510479302,-19.82714580969515,288.4480316211307,-21.05820578986359,-20.630722682900476,66641.0,67355.0,2913.0655594405594,pos
