peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,new_feature,new_feature2,type
-58.53057959921174,-39.36759435825835,-55.4017722453897,269.14881673466147,-58.20516388791222,-57.64370664388943,-0.8573861538075221,-129.78062937005402,1
-28.50057281651464,-148.8575477152085,-26.708967560869453,261.2134586453884,-28.57545769042431,-28.57091286237145,1.1416079593789386,-141.86591855396853,1
-28.18018056188218,-21.407659580300773,-27.556940746560777,133.38938730250462,-28.098913716621727,-28.14569269713912,1.1416066709407862,-50.56856008709318,1
-54.23366041477147,-43.21436969206356,-51.48571203769145,257.39812672330856,-54.30646511708225,-54.15791946169991,1.0900905493583477,-127.37954911319056,1
-42.68247989255968,-53.07554343875647,-39.97873082958501,221.014657895258,-42.64750217965793,-42.63040155469884,1.141622290067427,-126.04460879271154,1
-80.66112438005788,86.52920737444049,-79.37010737571087,234.05971558682603,-80.38295819668791,-80.17473300880981,-0.858301715510782,-122.68516587295316,1
-41.10896447003426,-136.1396722401454,-39.36785864620245,298.8293581782362,-41.15525256762754,-41.05761025422655,1.141609223816899,-177.3020806266562,1
-38.937340525848505,-156.0536528825994,-37.412540474396096,310.23022916217207,-38.999304925015046,-38.827390354312975,1.1415952260908029,-209.81584633581417,1
-54.73921390550507,-18.44329541562172,-52.884252013402005,235.42698292255963,-54.72667383800122,-54.633547750029486,-0.24083112444100005,-126.05450201869186,1
-84.16276343731377,103.76887064547444,-82.32194762409388,230.4446125456409,-83.90951451641769,-83.81925761329009,-0.858273626496464,-120.01070465992802,1
-56.28282443136031,-41.53580410767452,-53.54902937764448,261.3216610334671,-55.48226989809031,-54.4717332186974,-0.6654563334844247,-128.1196275667368,1
-18.75904994048569,-15.593767888798066,-18.336213831288337,90.14499047667351,-18.71199191880905,-18.743966897292417,1.1415958006288858,98.88029455765373,1
-60.43619384987031,-35.72901205347069,-56.32782735440925,269.6250731555847,-59.334857048484906,-57.797182849349575,-0.8409885632024613,-129.67552794554123,1
-43.331176189193066,-25.79504939354175,-36.95765347148149,191.8043306186205,-42.78790677288288,-42.932544791521146,1.1415096204819686,-118.78806212333318,1
-20.986212233878717,-205.94574510479387,-19.827145809695207,288.44803162113203,-21.058205789863663,-20.630722682900554,1.141539179487308,-197.40180264405515,1
-52.07820107518283,-44.60837426466158,-51.19138863354958,251.1359977362233,-51.814900754119705,-51.443133008709545,1.14067457268106,-126.85481981651215,1
-18.273170977254505,-13.619141088607693,-17.827190128492795,86.04257518055441,-18.07318484505932,-18.24988814114011,1.1415998780695416,120.12552962997516,1
-41.65457095847167,-38.18513252389711,-40.603382195688845,203.6241943360021,-41.60195406459837,-41.57915459334618,1.1416224491536595,-124.45175901400616,1
-61.27816627834351,-58.46063289343431,-59.77871217230285,299.8787545663201,-60.33640553300869,-60.02483768923063,-0.8567653282219416,-154.66539693538735,1
-67.38024453927135,-58.100237470982,-65.60469920420056,325.3072489182684,-67.22084285319092,-67.00122485062359,-0.8582811754979023,-194.5124551267117,1
-97.54640383341386,155.38641230130898,-94.21712573469074,231.2817365914549,-97.63217804544202,-97.27244127921728,-0.8582872855545172,-109.53183669577707,1
-27.9510907118301,-26.62078173307584,-27.217758472798,137.610305419405,-27.92348112588256,-27.897193375818382,1.1416007538910806,-61.271023846661684,1
-48.37825991539552,-80.09188443521049,-46.964903707698575,272.22603458924056,-48.40025787296083,-48.39072865797505,1.1414882114425107,-135.29195066377204,1
-80.35960061583626,74.07620259250999,-78.73762873662126,245.23436183637648,-80.08482793539537,-80.12850714103352,-0.8582346949291932,-124.52524008902553,1
-88.22438558327504,172.4563464850229,-86.39381622711514,178.30117389592718,-88.24325290330093,-87.89606566725895,-0.8582910003268586,-46.31625332832021,1
-84.66811322110762,172.30044836275917,-83.20185983956254,164.67468517137524,-84.66934195349101,-84.43581851997322,-0.8582695841498762,-16.640563482664625,1
-52.51689070347895,-122.73051828615128,-50.97556065499309,331.1911664939908,-52.57903019546718,-52.38916665390054,1.1404144992145033,-242.98095554452354,1
-66.3448494234996,-47.022922388365856,-64.69612812868515,310.10064475177563,-66.12069972968595,-65.9160450815391,-0.8582914183307222,-164.40317021961832,1
-65.00808604807074,-5.775820087412825,-62.89367582561205,263.7200234299892,-65.07461440755405,-64.96782706133958,-0.8580260591446193,-127.39121384467322,1
-35.3642274659714,-97.01866467376368,-34.59829274794445,237.7446253878756,-35.397034763480846,-35.366405736715144,1.1416128636503804,-127.70749135379303,1
-18.20519141955853,-233.5764078052132,-16.36948108707371,304.70942436122306,-18.280613671673983,-18.277730377703243,1.1415974927738288,-253.44869744387927,1
-27.36041092961468,-191.37080880435303,-26.032987403760607,299.2839419095095,-27.438222255622637,-27.081512516158572,1.141551421840818,-208.69457374661116,1
-104.25103307314306,209.30143869651127,-101.85320074707316,205.25614043216612,-104.43612225032476,-104.01722305813637,-0.8582864972135722,-65.12901197628486,1
-27.81094699246217,-25.58510003644896,-26.58103665507376,135.38310505769172,-27.634991478037254,-27.771029895669628,1.141609013960599,-55.41464832207003,1
-78.58252447280121,113.9368263607626,-77.08576478732287,198.54821215439307,-78.4744494737584,-78.34229978127324,-0.8582549120440824,-102.16910294150333,1
-83.83984904929233,197.4825483994393,-82.45342846510532,136.49419745345307,-83.94250412026729,-83.74096421822753,-0.8582425412020236,103.33719330149418,1
-76.74387392462648,63.980339881251965,-75.10848087126297,240.4289708812995,-76.45989853005692,-76.0970574366053,-0.8583371802957479,-124.8192392205567,1
-4.075477748608159,-248.31592961289925,-2.029205596998158,262.7178658107909,-4.156191126403595,-4.141061725881877,1.141586309855998,-184.91959745443754,1
-62.63235525320147,-68.84188320488553,-60.51116962092362,317.13457826229336,-62.630855855458805,-62.51831432782381,-0.8580040302072329,-181.7207904039889,1
-33.65730459359252,-31.698938144602288,-30.388500004776247,162.82840559081498,-33.58914074199452,-33.49452210584941,1.1415961895440059,-98.76538431401,1
