iter	Passed	Remaining
0	378	377647
1	800	399408
2	1203	399865
3	1587	395295
4	1978	393786
5	2404	398338
6	2802	397549
7	3161	391999
8	3579	394121
9	3960	392097
10	4334	389726
11	4718	388479
12	5095	386838
13	5510	388081
14	5845	383849
15	6296	387239
16	6684	386543
17	7105	387669
18	7525	388564
19	7940	389082
20	8332	388451
21	8769	389831
22	9159	389062
23	9603	390531
24	10009	390381
25	10403	389715
26	10789	388811
27	11189	388428
28	11568	387354
29	11952	386478
30	12352	386118
31	12802	387288
32	13194	386650
33	13627	387170
34	14025	386699
35	14437	386597
36	14807	385392
37	15207	384987
38	15609	384636
39	15998	383975
40	16387	383311
41	16783	382826
42	17166	382064
43	17580	381981
44	17994	381873
45	18428	382196
46	18839	381999
47	19277	382337
48	19732	382969
49	20149	382831
50	20562	382617
51	20975	382391
52	21373	381893
53	21800	381914
54	22241	382143
55	22682	382368
56	23082	381867
57	23492	381548
58	23890	381030
59	24312	380894
60	24724	380600
61	25140	380353
62	25564	380222
63	25951	379539
64	26363	379233
65	26787	379085
66	27177	378459
67	27541	377480
68	27950	377126
69	28367	376888
70	28771	376464
71	29203	376396
72	29642	376420
73	30065	376219
74	30526	376487
75	30958	376392
76	31384	376201
77	31787	375744
78	32139	374694
79	32555	374385
80	32954	373896
81	33342	373269
82	33733	372692
83	34140	372295
84	34546	371883
85	34962	371573
86	35387	371361
87	35754	370543
88	36187	370411
89	36610	370168
90	37005	369649
91	37350	368630
92	37767	368337
93	38156	367762
94	38589	367616
95	38994	367198
96	39398	366775
97	39813	366442
98	40219	366035
99	40631	365682
100	41045	365345
101	41462	365034
102	41886	364780
103	42266	364144
104	42700	363970
105	43086	363389
106	43479	362874
107	43911	362674
108	44343	362474
109	44757	362128
110	45161	361698
111	45547	361128
112	45917	360432
113	46349	360228
114	46758	359840
115	47154	359349
116	47550	358865
117	47953	358430
118	48334	357840
119	48726	357330
120	49119	356824
121	49520	356381
122	49891	355733
123	50327	355540
124	50692	354848
125	51075	354283
126	51484	353905
127	51894	353528
128	52322	353277
129	52733	352907
